1870,13-14-2502,2013-10-01 00:00:00.000,Lyric Printers,621034,216,Self Ink Stamp,2013-10-01 00:00:00.000,INR-1250.00,Marketing,D010,309102,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1871,13-14-2506,2013-11-01 00:00:00.000,Sigma Eenterprises,555356,4671,Bracket,2013-09-27 00:00:00.000,INR-2940.00,Engineering,D006,312139,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1872,13-14-2511,2013-10-01 00:00:00.000,Sigma Eenterprises,555356,4672,MS Plate,2013-09-27 00:00:00.000,INR-1260.00,Engineering,D006,312139,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1873,13-14-2514,2013-10-01 00:00:00.000,Hanuman Enterprises,168408,701,Hex Bolt 16x40,2013-09-27 00:00:00.000,INR-1198.00,Engineering,D006,312132,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1874,13-14-2528,2013-10-01 00:00:00.000,Sigma Eenterprises,555356,4676,MS Plate,2013-10-01 00:00:00.000,INR-525.00,Engineering,D006,312139,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1875,13-14-2546,2013-10-04 00:00:00.000,Hanuman Enterprises,168408,716,Bolt & Nut,2013-10-04 00:00:00.000,INR-681.00,Engineering,D006,312132,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1876,13-14-2521,2013-10-01 00:00:00.000,Sigma Eenterprises,555356,4675,Braket L,2013-10-01 00:00:00.000,INR-840.00,Engineering,D006,312139,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1877,13-14-2554,2013-10-05 00:00:00.000,Hanuman Enterprises,168408,728,Fevicol 5H,2013-10-05 00:00:00.000,INR-4298.00,Engineering,D006,312132,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1878,13-14-2555,2013-10-05 00:00:00.000,Autefa Solutions Austria GmbH,142773,21200487,Machinery Parts,2013-10-05 00:00:00.000,INR-0.0,Engineering,D006,111111,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1879,13-14-2560,2013-10-05 00:00:00.000,Vishwakarma Sewing Machine,40637,1162,Sewing Machin Part,2013-10-05 00:00:00.000,INR-3630.00,Finishing,D013,312135,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1880,13-14-2561,2013-10-07 00:00:00.000,B.R. Scientific & Chemicals,618097,637,Cotton Glovs,2013-10-07 00:00:00.000,INR-938.00,Packing,D016,312138,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1881,13-14-2562,2013-10-07 00:00:00.000,Sigma Eenterprises,555356,4678,O Ring,2013-10-07 00:00:00.000,INR-1050.00,Engineering,D006,312139,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1882,13-14-2563,2013-10-07 00:00:00.000,Hanuman Enterprises,168408,730,Leather Hands Glovs,2013-10-07 00:00:00.000,INR-413.00,Engineering,D006,312132,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1883,13-14-2515,2013-10-01 00:00:00.000,Sigma Eenterprises,555356,4673,L Bracket,2013-09-27 00:00:00.000,INR-788.00,Engineering,D006,312139,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1884,13-14-2559,2013-10-05 00:00:00.000,Lab-Line Enterprises,618425,1859,Hypo Chemical,2013-10-05 00:00:00.000,INR-1119.00,Finishing,D013,311735,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1885,13-14-2536,2013-10-01 00:00:00.000,P.D. Engineering Works,25913,163,Ms Plate,2013-10-01 00:00:00.000,INR-2927.00,Engineering,D006,312140,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1886,13-14-2544,2013-10-04 00:00:00.000,Charan Medical Store,620488,5728,Medicin,2013-10-04 00:00:00.000,INR-2003.00,Personnel,D009,311744,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1887,13-14-2548,2013-10-04 00:00:00.000,Laxmi Laminates,207836,8849,Lamineted Sheet,2013-10-04 00:00:00.000,INR-12501.00,Engineering,D006,312142,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1888,13-14-2537,2013-10-03 00:00:00.000,Assam Bearing Pvt. Ltd.,620058,1616,Bearing,2013-10-03 00:00:00.000,INR-26406.36,Engineering,D006,309664,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1889,13-14-2505,2013-11-01 00:00:00.000,Golden Precision Products (P) Ltd.,54832,595,Electromagnetic Tooth Clutch,2013-09-27 00:00:00.000,INR-74495.00,Engineering,D006,287864,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1890,13-14-2508,2013-11-01 00:00:00.000,V.S.Enterprises,154818,452,PVC Sheet,2013-09-27 00:00:00.000,INR-40142.00,Weaving,D004,309678,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1891,13-14-2509,2013-11-01 00:00:00.000,Baldev Raj Kumar,618011,4292,Cotton Cloth,2013-09-27 00:00:00.000,INR-8627.00,Packing,D016,310388,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1892,13-14-2540,2013-10-03 00:00:00.000,Power Zone,950284,12238,Choke EBE 128W,2013-10-03 00:00:00.000,INR-7479.82,Weaving,D004,292910,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1893,13-14-2542,2013-10-03 00:00:00.000,Nikhil Chemineers (Pvt) Ltd,635903,657,Chemical NC -402,2013-10-03 00:00:00.000,INR-21063.00,Engineering,D006,310945,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1894,13-14-2541,2013-10-03 00:00:00.000,Nikhil Chemineers (Pvt) Ltd,635903,656,"Chemical NC-101, 104",2013-10-03 00:00:00.000,INR-11367.00,Engineering,D006,310945,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1895,13-14-2531,2013-10-01 00:00:00.000,Mercury Scientific Equipments &Chemicals,166839,7465,Chemicl,2013-10-01 00:00:00.000,INR-5511.00,Product management,D008,310382,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1896,13-14-2534,2013-10-01 00:00:00.000,S B J SYSTEMS,167656,749,Computer Material,2013-10-01 00:00:00.000,INR-2526.00,EDP,D015,310948,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1897,13-14-2533,2013-10-01 00:00:00.000,S B J SYSTEMS,167656,748,Computer Material,2013-10-01 00:00:00.000,INR-18398.00,EDP,D015,310385,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1898,13-14-2539,2013-10-03 00:00:00.000,Arjun Machine Tools,577150,3430,Screen Cutter,2013-10-03 00:00:00.000,INR-2917.60,Weaving,D004,303879,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
1899,13-14-2552,2013-10-05 00:00:00.000,Arjun Machine Tools,577150,3431,Shuttle Box,2013-10-05 00:00:00.000,INR-28134.00,Engineering,D006,302736,Oct  8 2013 12:00AM,Purchase,1,2013-10-08 00:00:00.000,0x,0x,0x
